Index,Value
1,447
2,189
3,94
4,910
5,633
6,380
7,633
8,336
9,786
10,925
11,571
12,675
13,376
14,636
15,777
16,768
17,595
18,212
19,971
20,375
21,416
22,448
23,134
24,562
25,559
26,176
27,646
28,833
29,430
30,234
31,864
32,66
33,270
34,794
35,213
36,507
37,75
38,360
39,962
40,534
41,402
42,949
43,76
44,279
45,747
46,185
47,82
48,869
49,205
50,707
51,523
52,947
53,312
54,366
55,414
56,145
57,622
58,133
59,952
60,708
61,827
62,547
63,807
64,814
65,284
66,265
67,189
68,707
69,636
70,453
71,641
72,682
73,680
74,923
75,392
76,661
77,172
78,491
79,649
80,253
81,415
82,998
83,573
84,380
85,986
86,798
87,949
88,472
89,566
90,706
91,622
92,305
93,178
94,170
95,143
96,576
97,524
98,773
99,195
100,875
